date,UK,London
02-2002,122000,198000
03-2002,127000,206000
04-2002,128000,208000
05-2002,132000,213000
06-2002,137000,220000
07-2002,138000,222000
08-2002,141000,226000
09-2002,145000,232000
10-2002,146000,231000
11-2002,147000,231000
12-2002,152000,238000
01-2003,149000,231000
02-2003,148000,227000
03-2003,151000,227000
04-2003,154000,233000
05-2003,153000,227000
06-2003,154000,231000
07-2003,156000,242000
08-2003,159000,245000
09-2003,159000,243000
10-2003,161000,244000
11-2003,159000,242000
12-2003,163000,246000
01-2004,163000,246000
02-2004,161000,243000
03-2004,161000,242000
04-2004,169000,255000
05-2004,171000,259000
06-2004,174000,262000
07-2004,177000,266000
08-2004,179000,265000
09-2004,179000,263000
10-2004,180000,265000
11-2004,180000,263000
12-2004,179000,257000
01-2005,180000,260000
02-2005,179000,262000
03-2005,183000,267000
04-2005,182000,264000
05-2005,183000,265000
06-2005,184000,268000
07-2005,186000,270000
08-2005,186000,269000
09-2005,187000,270000
10-2005,185000,264000
11-2005,186000,268000
12-2005,186000,269000
01-2006,185000,270000
02-2006,183000,262000
03-2006,187000,274000
04-2006,188000,277000
05-2006,190000,279000
06-2006,191000,279000
07-2006,194000,285000
08-2006,197000,285000
09-2006,199000,290000
10-2006,198000,288000
11-2006,199000,291000
12-2006,201000,296000
01-2007,205000,309000
02-2007,205000,309000
03-2007,207000,316000
04-2007,209000,319000
05-2007,211000,323000
06-2007,214000,332000
07-2007,218000,343000
08-2007,219000,339000
09-2007,220000,342000
10-2007,220000,343000
11-2007,219000,338000
12-2007,218000,337000
01-2008,221000,350000
02-2008,217000,337000
03-2008,217000,340000
04-2008,218000,342000
05-2008,217000,346000
06-2008,215000,337000
07-2008,215000,340000
08-2008,209000,324000
09-2008,209000,325000
10-2008,204000,319000
11-2008,200000,314000
12-2008,195000,304000
01-2009,195000,299000
02-2009,190000,292000
03-2009,187000,284000
04-2009,188000,286000
05-2009,188000,287000
06-2009,191000,297000
07-2009,196000,305000
08-2009,196000,304000
09-2009,199000,314000
10-2009,198000,312000
11-2009,200000,315000
12-2009,200000,317000
01-2010,207000,331000
02-2010,204000,321000
03-2010,206000,327000
04-2010,207000,333000
05-2010,209000,334000
06-2010,211000,339000
07-2010,212000,347000
08-2010,213000,340000
09-2010,212000,340000
10-2010,208000,337000
11-2010,208000,338000
12-2010,207000,335000
01-2011,216000,350000
02-2011,212000,342000
03-2011,215000,351000
04-2011,214000,352000
05-2011,212000,345000
06-2011,214000,350000
07-2011,217000,357000
08-2011,218000,357000
09-2011,217000,357000
10-2011,216000,357000
11-2011,215000,356000
12-2011,214000,356000
01-2012,229000,382000
02-2012,226000,371000
03-2012,225000,368000
04-2012,229000,388000
05-2012,229000,388000
06-2012,231000,390000
07-2012,234000,397000
08-2012,234000,399000
09-2012,233000,394000
10-2012,231000,388000
11-2012,232000,393000
12-2012,233000,398000
01-2013,237000,405000
02-2013,233000,395000
03-2013,235000,398000
04-2013,238000,414000
05-2013,239000,416000
06-2013,242000,425000
07-2013,245000,438000
08-2013,246000,436000
09-2013,245000,434000
10-2013,247000,436000
11-2013,248000,441000
12-2013,250000,450000
01-2014,252000,452000
02-2014,253000,458000
03-2014,252000,459000
04-2014,260000,485000
05-2014,262000,492000
06-2014,265000,499000
07-2014,272000,510000
08-2014,274000,514000
09-2014,273000,508000
10-2014,271000,505000
11-2014,271000,501000
12-2014,272000,502000
01-2015,270000,497000
02-2015,269000,488000
03-2015,273000,498000